City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Inhambane,MZ,2020-08-30 02:27:32,-23.86,35.38,73.29,84,18,8.81
270,Rawlins,US,2020-08-30 02:27:32,41.79,-107.24,62.6,48,1,9.17
271,Ajdabiya,LY,2020-08-30 02:27:32,30.76,20.23,75.72,58,0,16.22
272,Havre-Saint-Pierre,CA,2020-08-30 02:27:32,50.23,-63.6,48.2,87,90,4.7
273,New Glasgow,CA,2020-08-30 02:24:19,45.58,-62.65,61.0,95,100,15.55
274,Taoudenni,ML,2020-08-30 02:27:33,22.68,-3.98,92.95,44,10,13.06
275,Flinders,AU,2020-08-30 02:27:33,-34.58,150.86,73.0,51,0,11.99
276,Ust-Tsilma,RU,2020-08-30 02:27:33,65.44,52.15,48.56,94,100,6.22
277,Torbay,CA,2020-08-30 02:27:33,47.67,-52.73,57.0,82,75,19.46
278,Erzin,TR,2020-08-30 02:27:34,36.96,36.2,79.0,88,0,2.68
279,Burpengary,AU,2020-08-30 02:27:34,-27.16,152.96,73.0,56,79,3.0
280,Culiacan,MX,2020-08-30 02:25:00,24.8,-107.39,86.0,74,75,11.41
281,Vallenar,CL,2020-08-30 02:27:34,-28.57,-70.76,56.03,38,18,1.36
282,Lujan,AR,2020-08-30 02:27:34,-34.57,-59.1,48.99,78,0,1.99
283,Alyangula,AU,2020-08-30 02:27:34,-13.85,136.42,86.0,45,40,12.75
284,San Jose,US,2020-08-30 02:26:30,37.34,-121.89,72.0,64,90,9.17
285,Marsabit,KE,2020-08-30 02:27:35,2.33,37.99,60.01,92,21,15.82
286,Tete,MZ,2020-08-30 02:27:35,-16.16,33.59,69.8,49,7,1.95
287,Korgen,NO,2020-08-30 02:27:35,66.08,13.82,42.8,93,75,1.12
288,Balkanabat,TM,2020-08-30 02:27:35,39.51,54.37,72.05,47,0,5.66
289,Anahuac,MX,2020-08-30 02:27:35,27.23,-100.15,94.44,34,0,10.45
290,Kieta,PG,2020-08-30 02:27:35,-6.22,155.63,86.9,63,2,8.72
291,Talnakh,RU,2020-08-30 02:27:36,69.49,88.4,46.4,100,90,2.24
292,Ouadda,CF,2020-08-30 02:27:36,8.08,22.4,67.05,94,99,1.41
293,Lodja,CD,2020-08-30 02:27:36,-3.48,23.43,70.39,95,97,2.37
294,Scarborough,GB,2020-08-30 02:27:36,54.28,-0.4,53.01,73,97,5.01
295,Villa Union,MX,2020-08-30 02:27:36,23.2,-106.23,84.0,83,75,9.17
296,Abu Samrah,SY,2020-08-30 02:27:36,35.3,37.18,71.8,43,0,1.9
297,Bissora,GW,2020-08-30 02:27:37,12.22,-15.45,74.46,95,100,4.05
298,Ibra,OM,2020-08-30 02:27:37,22.69,58.53,83.57,56,100,1.7
299,Kachug,RU,2020-08-30 02:27:37,53.96,105.88,57.4,89,100,1.48
300,Udachnyy,RU,2020-08-30 02:27:37,66.42,112.4,55.4,43,90,2.24
301,Innisfail,AU,2020-08-30 02:27:37,-17.53,146.03,69.73,89,100,9.44
302,Sao Joao Da Barra,BR,2020-08-30 02:26:22,-21.64,-41.05,72.9,84,0,20.4
303,Araouane,ML,2020-08-30 02:27:37,18.9,-3.53,86.0,53,46,12.53
